id;RegNo;Name;Street;City;Phone;RT90NorthSouth;RT90EastWest;URL;IndustryCodes
LTj2_-mO1H;165567461180;KVD;Näsvägen 19;ÅKERSBERGA;010-1673000;6598291;1640054;http://www.kvd.se;76,1439
xPs4OHJAK7;196809305086;bliss design;Solarvsplan 34;ASKIM;070-1759686;6396149;1268829;www.blissdesign.se;247,513
zzMjXUoK7e;165561276188;Swedol AB;Exportgatan 26;HISINGS BACKA;031-586260;6408326;1272959;www.swedol.se;232,586
Vhgj22ZZs_;165566688288;Galactica Trading AB;Flöjelbergsgatan 16A;MÖLNDAL;031-7094333;6400709;1273785;www.galactica.se;70
dlCmUUoAK7;168020031178;Gymnasieskolan Futurum;Trekantsvägen 7;STOCKHOLM;08-55602310;6579036;1626285;www.gymnasieskolanfuturum.se;374
VhgP2ZZZZs;168620000169;STF Vandrarhem Bengtsfors;Gammelgården;BENGTSFORS;0531-12620;6550598;1295200;www.gammelgarden.com;138
yhddxRw4vm;196510315572;HM IT-Service;Vargön 130;VARGÖN;0521-223860;6475384;1299465;www.hmitservice.se;540,241
ihxjZZsss_;196901070257;JBG Gruppen;Hollywoodvägen 34;SOLLENTUNA;08-7545349;6597824;1618343;www.jbggruppen.se;385
LdS2_mUoJA;169697246891;Vinisa Byggsystem;Vallavägen 169;HANDEN;076-8979013;6562437;1634139;www.vinisabygg.se;522
~Tj2s4U1HG;197203201996;Next Decade Consulting;Götgatan 48;STOCKHOLM;08-4421842;6579383;1629107;www.decade.se;540,241
yVVdWP-vmn;162120000662;Växjö Stadsbibliotek;Västra Esplanaden 7;VÄXJÖ;0470-41444;6306418;1438785;www.vaxjo.se/bibliotek;86
zxP5vGqqqb;165563143147;Spino Friskvård AB;Vegagatan 2;VÄSTERÅS;021-131301;6611945;1541445;www.spino.se;108
0xlPPCww5-;165566413190;PlusFourSix AB;Linnégatan 87A;STOCKHOLM;08-6620530;6581558;1630392;www.plusfoursix.com;6
0SSMRlCCw5;169169218063;Företagsprodukter i Karlskoga;Nyponvägen 11;KARLSKOGA;0586-35700;6576729;1425198;www.foretagsprodukter.se;232
LMs-Hqqbko;165566459763;Twilfit;Pajalagatan 49;VÄLLINGBY;08-875700;6584303;1617606;www.twilfit.se;69
VdSl555-4v;165568149628;Skrapan;Götgatan 78;STOCKHOLM;070-0920392;6578997;1629204;www.skrapan.se;81
zMP_wnqqko;165568122096;Öresunds Fasad & Kakel AB;Långebergavägen 134;HELSINGBORG;042-4002627;6216631;1311534;www.oresundsfasad.se;44,301
iVdSjZ_Cw5;165562658236;Belaxa AB;Nygatan 24B;HOVMANTORP;0478-40640;6294868;1459554;www.belaxa.se;237
zSR2CwmHGq;165566014873;Strömslunds Rör AB;Torsredsvägen 65;TROLLHÄTTAN;070-7175603;6467495;1292643;www.stromslundsror.se;170
LdRRswX1HG;165566919717;Kvarntorget Fastighet AB;Kvarntorget 3;UPPSALA;018-240408;6640016;1603273;www.kvarntorget.se;13
dMWlwUUU1H;168496008221;Harabäckens Golfklubb;Gödestad 63;VARBERG;0340-674216;6339651;1293642;www.harabacken.se;122,19
zzRw5vbkoJ;165566475298;Alltruistic (Europe) AB;Skeppargatan 8;STOCKHOLM;08-6494546;6581289;1629583;www.giftbox.se;239,49
0zgjXvvmnO;165566459763;Twilfit;Nybrogatan 11;STOCKHOLM;08-6623817;6581514;1629301;www.twilfit.se;69
iddxT255X4;165560525692;Hertz Biluthyrning;Umeå Flygplats;UMEÅ;090-177140;7083958;1720868;www.hertz.se;127,563
00hzWswnOU;165565467841;Clarence Paulson System AB;Lövdalsvägen 69;SEGELTORP;08-4497380;6572890;1622424;www.cpsab.se;237
LdMsXHHqko;165590062138;Bo Aktivt i Sverige AB;Idrottsvägen 14A;MÖLNDAL;031-120101;6398134;1272407;www.boaktivt.se;522,193
iixRw--X4v;165566459763;Twilfit;Postgatan 26-32;GÖTEBORG;031-151970;6404656;1271415;www.twilfit.se;69
LMss-XGkoJ;165561043539;Cramo Kiruna;Maskinvägen 14;KIRUNA;0980-66970;7534820;1689089;www.cramo.se;999,759
ySggPwmmOU;165568002710;Din Byggpartner i Skellefteå AB;Lagergatan 3D;SKELLEFTEÅ;070-6574490;7192519;1748447;www.dinbyggpartner.se;522
xxTTj51qbk;165560039967;Tarkett Sverige AB;Fabriksgatan 54A;ÖREBRO;0771-251900;6571813;1465488;www.tarkett.se;409
xRlwmUoJJA;165565284501;Gotlands Industriservice AB GISAB;Solklintsvägen 99;SLITE;0498-222162;6403076;1677938;www.gotlands-industriservice.nu;167
~S254Uq7eu;167696109698;Mjk Trading Ek Förening;Bultgatan 16;SUNDSVALL;060-176785;6920777;1575940;www.mjktrading.se;237
xSMsXUGkoJ;196812191978;Fotograf JFalk;Roxtorpsgatan 9;LINKÖPING;013-352511;6478080;1488308;www.jfalk.se;18,567
hdxSTWZZ_C;165566702857;Statkraft Sverige AB;Nipan 51;SOLLEFTEÅ;0300-562400;7008245;1573617;www.statkraft.se;186
VzzgZZZZs_;165566531389;SkandiaMäklarna;Biblioteksgatan 1A;MÖLNLYCKE;031-886270;6398646;1279938;http://www.skandiamaklarna.se/kontor/molnlycke;258,559
dP54qKKK7e;165566505375;Jadaab AB;Vallvägen 6;ÖSTERSUND;063-180300;7007504;1443584;www.jadaab.se;1079,156
zSTgP--1HG;165560278409;Arena;Box 11043;BROMMA;08-7044500;;;www.alfort.se;41,301
xMsCwXm1HG;165566111109;UPS SCS AB;Stensätravägen 5-7;SKÄRHOLMEN;08-59513100;6575723;1621123;www.ups-scs.com;979
0xlPPjjjj2;165567490882;Moderna Smycken;Boråsvägen 17;ULRICEHAMN;0321-15656;6410661;1357786;www.modernasmycken.se;79
y0hhdRRRlP;165561907709;Spaljisten AB;Östra Industrivägen 6-8;ÅSEDA;0474-48043;6338147;1473866;www.spaljisten.se;398
hzM_vnGbko;165564590510;Wnk Skogsgallring AB;Ekerödsvägen 240;MUNKA-LJUNGBY;0431-441236;6242451;1336024;www.wnk.se;231
zlCwOkkkoJ;165566516323;Elkontakten i Kristianstad AB;Magasinsgatan 2;KRISTIANSTAD;044-103790;6213228;1396967;www.elkontakten.se;156
dWZsCvvqbk;165563944882;Amurlidens;Småstugevägen 11;TIDAHOLM;0502-10820;6452281;1392882;www.amurliden.se;107
xSPw-U11HG;165566711924;JustNu;Varmvalsvägen 9;VÄSTERÅS;021-107170;6610942;1542459;www.justnu.se/vasteras;257,11,228
Vhh~Rsss_C;165565455341;Inomhusmiljö Svenska AB;Södra Glasmästargatan 15B;VISBY;08-302159;6390371;1650196;www.rokrum.se;233
xWj-vGKQB6;165562893171;Mmc Bilar Sverige AB;Bergkällavägen 32;SOLLENTUNA;08-4745400;6598669;1619921;www.mitsubishi.nu;76,504
~dP-ObAK7e;195103271010;zefaimages Sverige;Bondegatan 21;STOCKHOLM;08-7722199;6579142;1629604;www.se.zefaimages.com;173
VhhdRjZZs_;165566516141;Ljunggren;Götgatan 36;STOCKHOLM;08-6407565;6579540;1629060;www.restaurangljunggren.se;269
hLddgs55X4;165568304785;GötaClean AB;Utlandagatan 24;GÖTEBORG;070-4786550;6402246;1272600;www.gotaclean.se;296,167
hLxxPwwOU1;165567298129;Bygg & Ventilationsservice i Norr AB;Tålsmarksvägen 41;BULLMARK;070-6228583;7110483;1728922;Facebook;233
VTlj2--1HG;165566388632;Gardinbussen i NV Skåne;Slottsvägen 17;BARSEBÄCK;046-776108;6186357;1321096;www.gardinbussen.se;51
yy0xW2__w5;196206237528;Lillemors Bak;Söräng Sörängsvägen 4946;BOLLNÄS;070-1906772;6802113;1522827;www.lillemorsbak.com;263
~g2wvGkK7e;162120000829;Telenor Arena;Arenavägen 19;KARLSKRONA;0455-303000;6232182;1487447;www.karlskrona.se/telenorarenakarlskrona;123
yySRs-HHqb;165568222946;Alséns Hantverk Från Öland AB;Areskogs Väg 7;FÄRJESTADEN;070-8460914;6287935;1544606;http://www.alsens.nu;87
xWj_wUGoJA;165564795598;Chalmers Kårrestaurangen;Chalmersplatsen 1;GÖTEBORG;031-7723957;6402512;1271543;www.chalmrest.se;269
zRwUbAKKK7;195709026230;Bäcks Såg och Trä;Bäck Mellanstugan;SÄFFLE;0533-62097;6563159;1325241;www.backsag.se;229
hgl_XUGGbk;165560906298;AB Rydéns i Gnosjö;Södergatan 45;GNOSJÖ;0370-333040;6359761;1375134;www.byrydens.se;1459
yhLSRRlw5-;165564811213;Carl Hjelte Fotograf AB;Krukmakargatan 30;STOCKHOLM;070-4045190;6579522;1628026;www.soderbergagentur.com;18,567
h~RZCO1qbk;;Barn2an;Porsvägen 11;FALSTERBO;076-2607520;6144634;1313438;www.barn2an.com;72
y0Slss-XX4;169696547638;Advokatfirman Glimstedt;Stortorget 17;HELSINGBORG;042-269950;6217577;1306276;www.glimstedt.se;699
LxTl5UUU1H;165561490144;Skogiganten;Kungsgatan 4;UDDEVALLA;0522-89260;6476122;1273319;www.skogiganten.net;75
0dPZXmOHGq;195408013919;Kenneth Persson EL i Höör;Vintergatan 7;HÖÖR;070-8415551;6202450;1359838;www.kpel.se;156
zgP-4mnnOU;165328006282;Ålems Sparbank;Storgatan 112;BLOMSTERMÅLA;0499-48750;6317341;1532041;www.alemssparbank.se;14
zzlswUHkoJ;162321000016;Familjesociala Enheten - Beroendecentrum Stockholm;Hälsovägen 141;HUDDINGE;08-58585660;6568502;1621792;www.beroendecentrum.se;536
LzdxlCCCw5;165625005243;Dalslands Sparbank;Torggatan 14;BÄCKEFORS;0530-44090;6526154;1289533;www.dalsbank.se;14
zSPw--11HG;165566110374;Asterion Sweden AB;Kronborgsgränd 11;KISTA;08-52024560;6588199;1621802;www.asterion-int.com;385
LLTjswvnOU;165564058955;Docksta Åkeri AB;Berg 102;DOCKSTA;070-6651749;6997023;1628409;www.brunobryggan.se;979,218
yxW_5---4v;196211191033;Grybe Kiropraktik och Akupunktur;Storängsvägen 15B;ÅKERSBERGA;070-4447774;6598575;1641168;www.grybe.se;108
dM__XnGqko;165569112484;Mk Consulting AB;Gate Kvarn 1;HJO;073-7345328;6451422;1405170;www.mkcab.se;522,220
i~TTTPCCw5;165561331355;Torslanda Bilservice AB;Nordhagsvägen 18;TORSLANDA;031-920470;6406204;1260167;www.torslandabilservice.se;45,127,153,155,563,565
h~R2--HAK7;162021000076;Polismuseet;Museivägen 7;STOCKHOLM;010-5638000;6581428;1631672;www.polismuseet.se;91
LzxSP---X4;165562312222;Baker Tilly SEK AB;Vällebergsvägen 19;LJUNGSKILE;0522-20014;6462316;1271769;www.bakertilly.se;249
~STRZZ--4v;165567983613;rödceder.se;Strandvägen 67;STOCKHOLM;08-386768;6581408;1630519;www.rodceder.se;296
hzggswUU1H;194611208390;Westward;Herrgårdsvägen 1;DANDERYD;08-7558087;6589304;1625848;www.westward.se;269
zRwOUUbbko;169164752843;Shell;Brogatan 5;ÅNÄSET;0934-20355;7140891;1753561;www.shell.se;184
zlP-HouucE;165562300102;Tidningsretur AB;Brännerigatan 2;NORRKÖPING;011-157430;6497064;1522972;www.tidningsretur.nu;411
xgs55nqqbk;165566545116;GR IT & Data AB;Torget 6;HAPARANDA;0922-68280;7329131;1879891;www.grdata.se;540,59,542,241,541,560,47,410
hh~Tj-11HG;165564565603;Eplus Teledata AB;Telegrafberget 21;DALARÖ;08-50153062;6561909;1650699;www.eplus.se;6
ySMj----X4;168020170489;Sveriges Konsumenter;Hornsgatan 172;STOCKHOLM;08-6744300;6579307;1626946;www.sverigeskonsumenter.se;85
hTTW2_44vm;168855010255;Lärarförbundet Avd. Ockelbo;Rabovägen 8;OCKELBO;0297-55554;6752249;1549355;www.lararforbundet.se/ockelbo;261
xWRwXOJJAK;195105034812;CL-Transport;Lillagärdevägen 25;FRILLESÅS;0340-654910;6361395;1289591;www.cltransport.nu;979,218
~xMjwOGGbk;165564308038;Eastside Café;Värtavägen 63A;STOCKHOLM;08-6610608;6583034;1630668;www.eastsidecafe.se;264
i0S2CnGqbk;165564921798;Gulf;Göteborgsvägen 36;BOLLEBYGD;033-285369;6398253;1307387;gulfsverige.com;184
yVTWRRwnOU;165562299577;Tanka;Kullbäcksvägen;HUDIKSVALL;060-180800;6847388;1568184;www.tanka.se;184
xMPj5vqbko;165565355483;Burlövs Bostäder AB;Dalbyvägen 35;ARLÖV;040-539700;6170420;1328031;www.burlovsbostader.se;174,13
~WlPZ-mmnO;165563118685;Happy Homes Upsala Färg Citybutik;Bredgränd 7;UPPSALA;018-183120;6639030;1602925;http://upsalacity.happyhomes.se;39
LWljjsXX4v;195601052334;Sjöstadensfoto;Lugnets Allé 41;STOCKHOLM;08-7147550;6578103;1630955;www.sjostadensfoto.se;18,567
zSSgl2__w5;165567499271;Göteborgs Hjärtmottagning AB;Fabriksgatan 10;GÖTEBORG;031-832700;6404223;1272765;www.gbghjartmottagning.se;605,107
dMM_vqe6Fr;162120000068;Smista förskola;Skansbergsvägen 24;SEGELTORP;08-53533188;6575066;1621037;www.huddinge.se;175
V~Mlw4Hbko;165564502754;Limousineaktiebolaget Hyrverk 1;Blekingegatan 44;STOCKHOLM;08-6404040;6578846;1629398;www.hyrverk1.se;127,563
VxxWRw4vmn;168020099332;Stroke-Riksförbundet;Måsholmstorget 3;SKÄRHOLMEN;08-7218820;6574359;1619826;www.strokeforbundet.se;368,85
i~STgls_w5;165569041030;Genetic Code in Sweden AB;Norra Storgatan 101;TRANÅS;0140-18010;6435653;1451711;www.geneticcode.se;572,105
0VdMW2w5X4;165566319405;Viddernas Hus;Föreningsgatan 2A;JOKKMOKK;070-3808161;7395675;1678355;www.viddernashus.se;269
dxSj-mU1HG;165566252473;Roxi Stenhus AB;Godsvägen 8;TRELLEBORG;020-254300;6142575;1329357;www.roxistenhus.se;522,297
xRZwm1HHHG;;S N hus & kultur;Muraregatan 14;KARLSTAD;054-2022788;6586349;1368317;sn-husochkultur.se;254
ySTTg2--4v;197602075017;Levererat;Aprilgatan 15;GÖTEBORG;076-3355133;6410526;1276351;www.levererat.com;472
izSTjXXX4v;165565470134;Momentum Industrial AB;Traktorvägen 3;LULEÅ;0920-201790;7293556;1790982;www.toolsmomentum.com;1459
iizR_nGqko;165569400640;Wasa Städ AB;Västberga Allé 9;HÄGERSTEN;08-53338777;6577377;1625799;www.wasastad.se;167
V~WPs_CCw5;165564714474;Elgiganten;Trelleborgsvägen 14;MALMÖ;0771-115115;6164892;1323566;www.elgiganten.se;481,32
0xjjjZC5-X;167696108468;Fair Unlimited;Stora Gatan 45;SIGTUNA;08-207944;6612163;1608067;www.fairunlimited.se;1459
xPw55nnU1H;197204230192;Exsto;Tornavägen 13;LUND;040-6082535;6178444;1336794;www.exsto.se;540,241
L~MjwUUU1H;165564943388;Actic Maserhallen;Masergatan 22;BORLÄNGE;0243-74551;6708312;1478368;www.actic.se/anlaggning/borlange-maserhallen/;104
idl2Z5U1Gq;165568656473;HTH Odenplan AB;Odengatan 56;STOCKHOLM;08-50660760;6582482;1627923;www.hth.se;386
~dTR2Zss_C;165564714474;Elgiganten;Planiavägen 4;NACKA;0771-115115;6578425;1632424;www.elgiganten.se;481,32
zRZ4GG7eeu;165565435905;Great Eastern AB;Magasinsgatan 17;UMEÅ;090-138838;7088006;1719296;www.great-eastern.se;269
iVxgswOOU1;165565961710;AsarumsMöbler AB;Offerkällevägen 5;ASARUM;0454-321300;6231117;1439655;www.asarumsmobler.se;53,251,49,67,55,56,294,527
0SlPwmbbko;165567557151;City Lodge;Klara Norra Kyrkogata 15;STOCKHOLM;08-226630;6581330;1628267;www.citylodge.se;138
VSMs4mUHGq;162120000019;Beroendecentrum Upplands Väsby Beroendemottagning;Industrivägen 2;UPPLANDS VÄSBY;08-59097775;6601697;1618557;www.beroendecentrum.se;536
zRlj-HHHGq;165564943388;Actic Sporthallen Kiruna;Adolf Hedinsvägen 37;KIRUNA;0980-70288;7535748;1686322;www.actic.se/anlaggning/kiruna-sporthallen/;123
iixRjww5X4;197509179078;Magus Bilsadelmakeri &Tapetserarverkstad;Infanterigatan 3;SKILLINGARYD;072-3222875;6368340;1397321;www.magutap.vpsite.se;405
0VzSWs5-X4;168572042094;Västsveriges Elevrådssamarbete;Vera Sandbergs Allé 5A;GÖTEBORG;031-7728272;6402850;1271628;www.vastsverigeselevrad.se;85
VzlsCXGGqb;165567171821;FG Metall AB;Hjovägen 24;HABO;036-46530;6422417;1397440;www.stiilcollection.se;395
xWCmbuB6rf;169697668433;Ekonombyrån Skaraborg HB;Fredriksbergsvägen 1;FALKÖPING;0515-10808;6451794;1367774;www.ekonombyran.se;249
VLMj-mmmnO;165566205737;Sporthandelsgymnasiet;Industrileden 5B;FORSHAGA;054-536100;6603305;1369227;www.forshagaakademin.se;374
L~g2sXm1HG;168024229620;Johanniterorden i Sverige;Box 24172;STOCKHOLM;08-6644020;;;www.johanniterorden.se;85
LzRj_vUqbk;165566876503;DC-Design AB;Hovslagarevägen 2;SOLLENTUNA;08-52211020;6593781;1621733;www.dc-design.se;366,1119
hzSgZ-XX4v;165566228820;Alviva AB;Munktellsgatan 3;ESKILSTUNA;031-666508;6584753;1540191;http://www.volvogroup.se/sv-se/about-us/organization/other-entities/alviva.html;572
LzTPZvHGbk;165569422016;Aterna AB;Sankt Eriksgatan 54;STOCKHOLM;070-2283620;6581588;1626840;www.aterna.se;366,550
~Ml54HkAK7;198108103238;Arcurian;Box 15098;UPPSALA;018-155360;;;www.automatikit.se;540,241
hhdRjwOOU1;162120001025;Biblioteket i Åkarp;Elevvägen 2;ÅKARP;040-439676;6172944;1330412;www.burlov.se;86
V~Wj2XGGqb;165562707884;Panini;Parmmätargatan 5;STOCKHOLM;08-6515353;6580764;1627594;www.panini.nu;291,269
hgP_mUHHGq;165164010158;Varbergs Sparbank;Fastarpsvägen 38;TVÅÅKER;0340-666030;6329160;1293192;www.varbergssparbank.se;14
xWj5-HJA7e;165565599320;Ulfs Stormarknad;Formvägen 8G;UMEÅ;090-188200;7090387;1721451;www.audiovideo.se;481,32
LWlP5OkkoJ;162120001157;Arenans Idrottsförskola;Mellersta Stenbocksgatan 14;HELSINGBORG;042-103150;6218161;1306855;www.helsingborg.se;175
iyVdgsvvmn;167940001162;Coop Grisbacka;Tallparksvägen 2A;UMEÅ;090-171270;7088193;1717094;www.coop.se;267,268,1143,1140
iyh~Ws44vm;162120001157;Trollsländans Förskola;Bjäregatan 19;HELSINGBORG;042-103367;6216741;1307036;www.helsingborg.se;175
0zlwOoucaQ;165569568867;Advokatbyrå Marie Petersson AB;Skomakaregatan 6;MALMÖ;040-6188660;6167487;1323229;www.advokatpetersson.se;699
0VS2--HHGq;167295001981;Coop Konsum;Hantverkargatan 5;EKENÄSSJÖN;0383-30024;6374366;1452964;www.coop.se/Butiker-varor--erbjudanden/Butiker-import/Coop-Konsum/Coop-Konsum-Ekenassjon;268,1145,1140,148
LMllj-m1HG;197406240429;sublim design;Hornsgatan 116;STOCKHOLM;070-2512894;6579511;1627676;www.sublim.se;596,593
LxSPjwOU1H;165565971081;Sector Alarm AB;Gamla Tanneforsvägen 17A;LINKÖPING;0771-809530;6476385;1490717;www.sectoralarm.se;2
VgR____Cw5;165567901680;Svensk Fastighetsförmedling Kumla;Köpmangatan 18;KUMLA;019-587560;6556283;1462091;www.svenskfast.se/kumla;258
0~RRPP22s_;194711222986;Nillas Kropp & Kultur;Styrbordsvägen 52;OXELÖSUND;073-6240469;6505809;1574362;www.nillaskroppochkultur.se;108
VddP5nO11H;169168461870;Pollux Shipping KB;Norra Ligården 46;HISINGS KÄRRA;070-3206429;6414149;1273780;www.polluxshipping.se;131
hxSjXnGGqb;165568029481;Mekonomen Bilverkstad / City Car Service Ringön AB;Gjutjärnsgatan 1;GÖTEBORG;031-214737;6405964;1271131;www.mekonomen.se;151,153,154
0dgZsXHqbk;165566797857;BST Berges Schakt & Transport AB;Pålhagsvägen 4;SÖDERTÄLJE;08-55094025;6566079;1605779;www.bst-ab.se;218
hgR22wvnOU;165564891447;Magelungen Evidens;Bondegatan 35;STOCKHOLM;08-52200090;6579211;1629839;www.magelungen.com;1059
0VVhxgZs_C;165565261889;OKQ8;Siriusgatan 2;GÖTEBORG;031-432728;6409668;1276349;www.okq8goteborg.se;184
